year,tite,url,author,theme
2015,"To Jamyla Bolden of Ferguson, Missouri",/poetsorg/poem/jamyla-bolden-ferguson-missouri,Naomi Shihab Nye,Childhood
2015,The Young Poets of Winnipeg,/poetsorg/poem/young-poets-winnipeg,Naomi Shihab Nye,Childhood
1878,Nature,/poetsorg/poem/nature,Henry Wadsworth Longfellow,Childhood
1855,There was a child went forth every day,/poetsorg/poem/there-was-child-went-forth-every-day,Walt Whitman,Childhood
2016,Erstling,/poetsorg/poem/erstling,Cynthia Cruz,Childhood
2014,The Red Sweater,/poetsorg/poem/red-sweater,Joseph O. Legaspi,Childhood
2010,Autumn Passage,/poetsorg/poem/autumn-passage,Elizabeth Alexander,Childhood
2013,Pomegranate Means Grenade,/poetsorg/poem/pomegranate-means-grenade,Jamaal May,Childhood
2016,Orphanage,/poetsorg/poem/orphanage,Carol Muske-Dukes,Childhood
2014,No Hands,/poetsorg/poem/no-hands,Carol Muske-Dukes,Childhood
2015,from Understory,/poetsorg/poem/understory,Craig Santos Perez,Childhood
2015,"Twinkle, Twinkle, Morning Star",/poetsorg/poem/twinkle-twinkle-morning-star,Craig Santos Perez,Childhood
2014,"America, I Sing Back",/poetsorg/poem/america-i-sing-back,Allison Adelle Hedge Coke,Childhood
2003,My Father in the Night Commanding No,/poetsorg/poem/my-father-night-commanding-no,Louis Simpson,Childhood
2015,Ode of Girls’ Things,/poetsorg/poem/ode-girls-things,Sharon Olds,Childhood
2015,"Empty Ring, Nest Fire",/poetsorg/poem/empty-ring-nest-fire,Sun Yung Shin,Childhood
2014,What I Mean When I Say Truck Driver,/poetsorg/poem/what-i-mean-when-i-say-truck-driver,Geffrey Davis,Childhood
1920,The Exposed Nest,/poetsorg/poem/exposed-nest,Robert Frost,Childhood
1999,Prodigy,/poetsorg/poem/prodigy,Charles Simic,Childhood
1915,The Lighted Window,/poetsorg/poem/lighted-window,Sara Teasdale,Childhood
2015,The Woodlice,/poetsorg/poem/woodlice,Aracelis Girmay,Childhood
2015,Let Everything Happen to You,/poetsorg/poem/let-everything-happen-you,Natalie Eilbert,Childhood
2014,What I Mean When I Say Farmhouse,/poetsorg/poem/what-i-mean-when-i-say-farmhouse,Geffrey Davis,Childhood
2014,Toy Cloud,/poetsorg/poem/toy-cloud,Nathan Hoks,Childhood
2014,What is the Grass?,/poetsorg/poem/what-grass,Lee Ann Brown,Childhood
2014,Fruit Cocktail in Light Syrup,/poetsorg/poem/fruit-cocktail-light-syrup,Amy Gerstler,Childhood
2015,Still Life with Invisible Canoe,/poetsorg/poem/still-life-invisible-canoe,Idra Novey,Childhood
2015,Epilogue,/poetsorg/poem/epilogue-0,Amber Tamblyn,Childhood
2014,A Natural History of My White Girl,/poetsorg/poem/natural-history-my-white-girl,Ching-In Chen,Childhood
2014,from Burial Sites,/poetsorg/poem/burial-sites,Toi Derricotte,Childhood
2014,I Have Read in the Book of the Butcher Boy (In Time of War),/poetsorg/poem/i-have-read-book-butcher-boy-time-war,Hyam Plutzik,Childhood
2014,Ithaca,/poetsorg/poem/ithaca,Ira Sadoff,Childhood
2014,"Jackrabbits, Green Onions & Witches Stew",/poetsorg/poem/jackrabbits-green-onions-witches-stew,Juan Felipe Herrera,Childhood
2013,They Call This,/poetsorg/poem/they-call,C. K. Williams,Childhood
2013,To My Best Friend's Big Sister,/poetsorg/poem/my-best-friends-big-sister,Ross Gay,Childhood
2013,My Bright Aluminum Tumblers,/poetsorg/poem/my-bright-aluminum-tumblers,Michael Ryan,Childhood
2014,Another Country,/poetsorg/poem/another-country,Ryan Teitman,Childhood
2013,Poem for You,/poetsorg/poem/poem-you,David Shapiro,Childhood
2013,Because I cannot remember my first kiss,/poetsorg/poem/because-i-cannot-remember-my-first-kiss,Roger Bonair-Agard,Childhood
2013,My Childhood,/poetsorg/poem/my-childhood,Matthew Zapruder,Childhood
2013,What's Left (Al-Mutanabbi Street),/poetsorg/poem/whats-left-al-mutanabbi-street,Katrina Roberts,Childhood
2013,Giraffes,/poetsorg/poem/giraffes,Kimiko Hahn,Childhood
2013,The Wolf Reader,/poetsorg/poem/wolf-reader,George Szirtes,Childhood
2012,Camp of No Return,/poetsorg/poem/camp-no-return,James Tate,Childhood
2012,"A Boat, Beneath a Sunny Sky",/poetsorg/poem/boat-beneath-sunny-sky,Lewis Carroll,Childhood
2012,From Honey to Ashes,/poetsorg/poem/honey-ashes,Geoffrey G. O'Brien,Childhood
2013,Virgil's Hand,/poetsorg/poem/virgils-hand,Francesc Parcerisas,Childhood
2013,The Figure,/poetsorg/poem/figure-0,Joseph Fasano,Childhood
2012,"A Feeling of AND, a Feeling of OR",/poetsorg/poem/feeling-and-feeling-or,Sherod Santos,Childhood
2012,"Love, Delight, and Alarm [excerpt]",/poetsorg/poem/love-delight-and-alarm-excerpt,Karen Weiser,Childhood
2012,Many-Roofed Building in Moonlight,/poetsorg/poem/many-roofed-building-moonlight,Jane Hirshfield,Childhood
2012,Sojourn,/poetsorg/poem/sojourn,Catherine Barnett,Childhood
2012,Prophecy,/poetsorg/poem/prophecy,Dana Gioia,Childhood
2011,Scryer's Bridge,/poetsorg/poem/scryers-bridge,Carol Guess,Childhood
2011,Sculptures of Virginia Woolf,/poetsorg/poem/sculptures-virginia-woolf,Michael Robins,Childhood
2011,The Aerodynamics,/poetsorg/poem/aerodynamics,Rick Bursky,Childhood
2012,Variations [Excerpt],/poetsorg/poem/variations-excerpt,Amelia Rosselli,Childhood
2012,El Florida Room,/poetsorg/poem/el-florida-room,Richard Blanco,Childhood
2011,Untitled [The child thought it strange],/poetsorg/poem/untitled-child-thought-it-strange,Richard Meier,Childhood
2011,Toothpaste Kids Sunburn,/poetsorg/poem/toothpaste-kids-sunburn,Jordan Davis,Childhood
2011,The Things,/poetsorg/poem/things,Donald Hall,Childhood
2011,For Some Slight I Can't Quite Recall,/poetsorg/poem/some-slight-i-cant-quite-recall,Ross Gay,Childhood
2010,Amber Alert,/poetsorg/poem/amber-alert,Jordan Davis,Childhood
2010,Translations,/poetsorg/poem/translations,Michael Dickman,Childhood
2010,You Know,/poetsorg/poem/you-know,Mary Jo Bang,Childhood
2010,The Keeper's Voice,/poetsorg/poem/keepers-voice,Mike Carson,Childhood
2010,"The more Alice reaches out, the more her dream-rushes",/poetsorg/poem/more-alice-reaches-out-more-her-dream-rushes,Jenny Boully,Childhood
2010,My Aunts,/poetsorg/poem/my-aunts-0,Meghan O'Rourke,Childhood
2010,Mostly Read The Luna Moth,/poetsorg/poem/mostly-read-luna-moth,Jordan Davis,Childhood
2009,From the Lives of My Friends,/poetsorg/poem/lives-my-friends,Michael Dickman,Childhood
2010,A Spray of Water: Tanka [one narcissus],/poetsorg/poem/spray-water-tanka-one-narcissus,Tada Chimako,Childhood
2010,Fireflies,/poetsorg/poem/fireflies,Fred Chappell,Childhood
2010,Early Memory,/poetsorg/poem/early-memory,January Gill O'Neil,Childhood
2009,deer & salt block,/poetsorg/poem/deer-salt-block,Joshua Marie Wilkinson,Childhood
2009,Nothing Is Lost,/poetsorg/poem/nothing-lost,Lucyna Prostko,Childhood
2007,To Sleep,/poetsorg/poem/sleep-0,Henri Cole,Childhood
2010,The Children's Hour,/poetsorg/poem/childrens-hour-0,Li-Young Lee,Childhood
2010,The Gaffe,/poetsorg/poem/gaffe,C. K. Williams,Childhood
2009,Lullaby in Blue,/poetsorg/poem/lullaby-blue,Betsy Sholl,Childhood
2008,Humanimal [I want to make a dark mirror out of writing],/poetsorg/poem/humanimal-i-want-make-dark-mirror-out-writing,Bhanu Kapil,Childhood
2005,The Pleasures of Fear,/poetsorg/poem/pleasures-fear,Judith Ortíz Cofer,Childhood
2004,Don't Let Me Be Lonely [There was a time],/poetsorg/poem/dont-let-me-be-lonely-there-was-time,Claudia Rankine,Childhood
2003,Blur,/poetsorg/poem/blur,Andrew Hudgins,Childhood
2001,"Soliloquy, Act 6 [excerpt]",/poetsorg/poem/soliloquy-act-6-excerpt,Kenneth Goldsmith,Childhood
2000,The Silent Singer,/poetsorg/poem/silent-singer,Len Roberts,Childhood
1995,Cerrada Medellin Blues (First Solo) [1st Chorus],/poetsorg/poem/cerrada-medellin-blues-first-solo-1st-chorus,Jack Kerouac,Childhood
2003,Sick,/poetsorg/poem/sick,Shel Silverstein,Childhood
2001,Pledge,/poetsorg/poem/pledge,Elizabeth Powell,Childhood
2001,A Boy Juggling a Soccer Ball,/poetsorg/poem/boy-juggling-soccer-ball,Christopher Merrill,Childhood
1998,Fuel,/poetsorg/poem/fuel,Naomi Shihab Nye,Childhood
1991,The Portrait,/poetsorg/poem/portrait,Stanley Kunitz,Childhood
1988,Details for Paterson,/poetsorg/poem/details-paterson,William Carlos Williams,Childhood
1981,"Fifteen, Maybe Sixteen Things to Worry About",/poetsorg/poem/fifteen-maybe-sixteen-things-worry-about,Judith Viorst,Childhood
1976,anyone lived in a pretty how town,/poetsorg/poem/anyone-lived-pretty-how-town,E. E. Cummings,Childhood
1966,Morning Song,/poetsorg/poem/morning-song,Sylvia Plath,Childhood
1937,Fern Hill,/poetsorg/poem/fern-hill,Dylan Thomas,Childhood
1982,I Have Never Been Anything Like Pink,/poetsorg/poem/i-have-never-been-anything-pink,Kazuko Shiraishi,Childhood
1979,In the Waiting Room,/poetsorg/poem/waiting-room,Elizabeth Bishop,Childhood
1971,The Testing-Tree,/poetsorg/poem/testing-tree,Stanley Kunitz,Childhood
1956,maggie and milly and molly and may,/poetsorg/poem/maggie-and-milly-and-molly-and-may,E. E. Cummings,Childhood
1928,The Tower,/poetsorg/poem/tower,W. B. Yeats,Childhood
1922,Recuerdo,/poetsorg/poem/recuerdo,Edna St. Vincent Millay,Childhood
1918,Babylon,/poetsorg/poem/babylon,Robert Graves,Childhood
1916,Birches,/poetsorg/poem/birches,Robert Frost,Childhood
1903,Playgrounds,/poetsorg/poem/playgrounds,Laurence Alma-Tadema,Childhood
1895,Going Down Hill on a Bicycle,/poetsorg/poem/going-down-hill-bicycle,Henry Charles Beeching,Childhood
1922,The Waste Land,/poetsorg/poem/waste-land,T. S. Eliot,Childhood
1916,"Out, Out–",/poetsorg/poem/out-out%E2%80%93,Robert Frost,Childhood
1913,Block City,/poetsorg/poem/block-city,Robert Louis Stevenson,Childhood
1901,Untitled [You mustn't swim till you're six weeks old],/poetsorg/poem/untitled-you-mustnt-swim-till-youre-six-weeks-old,Rudyard Kipling,Childhood
1885,The Swing,/poetsorg/poem/swing,Robert Louis Stevenson,Childhood
1885,Pirate Story,/poetsorg/poem/pirate-story,Robert Louis Stevenson,Childhood
1860,The Children's Hour,/poetsorg/poem/childrens-hour,Henry Wadsworth Longfellow,Childhood
1807,Ode on Intimations of Immortality from Recollections of Early Childhood,/poetsorg/poem/ode-intimations-immortality-recollections-early-childhood,William Wordsworth,Childhood
1798,We Are Seven,/poetsorg/poem/we-are-seven,William Wordsworth,Childhood
1719,Leap Year Poem,/poetsorg/poem/leap-year-poem,Mother Goose,Childhood
1871,Jabberwocky,/poetsorg/poem/jabberwocky,Lewis Carroll,Childhood
1855,"A child said, What is the grass?",/poetsorg/poem/child-said-what-grass,Walt Whitman,Childhood
1807,My Heart Leaps Up,/poetsorg/poem/my-heart-leaps,William Wordsworth,Childhood
1789,The Lamb,/poetsorg/poem/lamb,William Blake,Childhood
1650,The Retreat,/poetsorg/poem/retreat,Henry Vaughan,Childhood
2009,The City Outside My Ear,/poetsorg/poem/city-outside-my-ear,Michael Luis Medrano,Cities
1922,On Broadway ,/poetsorg/poem/broadway-0,Claude McKay,Cities
1917,"[London, my beautiful]",/poetsorg/poem/london-my-beautiful,F. S. Flint,Cities
1919,Solitare,/poetsorg/poem/solitare,Amy Lowell,Cities
2017,In the City,/poetsorg/poem/city-2,Chen Chen,Cities
2017,Daily Conscription ,/poetsorg/poem/daily-conscription,Kyle Dargan,Cities
1920,Recuerdo,/poetsorg/poem/recuerdo-0,Edna St. Vincent Millay,Cities
1917,"[Immortal?... No,]",/poetsorg/poem/immortal-no,F. S. Flint,Cities
2017,from “The Last Bohemian of Avenue A”,/poetsorg/poem/last-bohemian-avenue,Yusef Komunyakaa,Cities
2017,Waiting for the Light,/poetsorg/poem/waiting-light,Alicia Ostriker,Cities
2017,Change of Address,/poetsorg/poem/change-address,Deborah Paredez,Cities
2016,this sad little enclave of horses,/poetsorg/poem/sad-little-enclave-horses,Julian Talamantez Brolaski,Cities
2016,Exchange,/poetsorg/poem/exchange,Rae Armantrout,Cities
2016,From Third Avenue On ,/poetsorg/poem/third-avenue,Djuna Barnes,Cities
2013,To the Fig Tree on 9th and Christian,/poetsorg/poem/fig-tree-9th-and-christian,Ross Gay,Cities
2016,American Ready Cut System Houses,/poetsorg/poem/american-ready-cut-system-houses,Heather Derr-Smith,Cities
2016,Ducks Sat,/poetsorg/poem/ducks-sat,Michele Glazer,Cities
2005,City Moon,/poetsorg/poem/city-moon,Francisco Aragón,Cities
1999,Classic Ballroom Dances,/poetsorg/poem/classic-ballroom-dances,Charles Simic,Cities
2016,"August Morning, Upper Broadway",/poetsorg/poem/august-morning-upper-broadway,Alicia Ostriker,Cities
2013,[ a subway ride ],/poetsorg/poem/subway-ride,Joseph O. Legaspi,Cities
2014,Solstice in Llasa,/poetsorg/poem/solstice-llasa,Wang Ping,Cities
2014,Faith,/poetsorg/poem/faith,Tim Seibles,Cities
1918,Bowery Afternoon,/poetsorg/poem/bowery-afternoon,Lola Ridge,Cities
2015,Death and the City,/poetsorg/poem/death-and-city,Rowan Ricardo Phillips,Cities
2014,Blast,/poetsorg/poem/blast,Marie-Elizabeth Mali,Cities
2008,Manchild,/poetsorg/poem/manchild,Cornelius Eady,Cities
1855,To a Stranger,/poetsorg/poem/to-a-stranger,Walt Whitman,Cities
1918,The Ghetto,/poetsorg/poem/ghetto,Lola Ridge,Cities
2015,from “You Are in Nearly Every Future”,/poetsorg/poem/%E2%80%9Cyou-are-nearly-every-future%E2%80%9D,Noah Falck,Cities
2015,In Defense of Melancholy,/poetsorg/poem/defense-melancholy,Pablo Medina,Cities
2015,Stammering translated sonnet in which the poet sends the rains of Havana to her love in New York,/poetsorg/poem/stammering-translated-sonnet-which-poet-sends-rains-havana-her-love-new-york,Suzanne Gardinier,Cities
2015,Long as a Quart of Milk,/poetsorg/poem/long-quart-milk,Kevin Pilkington ,Cities
2014,We Used to Have Parties,/poetsorg/poem/we-used-have-parties,Justin Marks,Cities
2003,Poem to the Detroit River,/poetsorg/poem/poem-detroit-river,Terry Wolverton,Cities
2015,"Gwendolyn Brooks Park, Topeka",/poetsorg/poem/gwendolyn-brooks-park-topeka,Ed Skoog,Cities
2015,Realtor,/poetsorg/poem/realtor,Randall Mann,Cities
2014,Voir Dire,/poetsorg/poem/voir-dire-0,Justin Marks,Cities
2014,Mouth Full of Grounds,/poetsorg/poem/mouth-full-grounds,Justin Marks,Cities
2015,gotham in arrears,/poetsorg/poem/gotham-arrears,Julian Talamantez Brolaski,Cities
2008,Lost in Los (Angeles),/poetsorg/poem/lost-los-angeles,Marisela Norte,Cities
2015,Sunset Park,/poetsorg/poem/sunset-park,Patrick Phillips,Cities
2015,Song of the City at Night,/poetsorg/poem/song-city-night,Carol Frost,Cities
2014,Problem-Not-Solving,/poetsorg/poem/problem-not-solving,Anne Waldman,Cities
2013,What's Left (Al-Mutanabbi Street),/poetsorg/poem/whats-left-al-mutanabbi-street,Katrina Roberts,Cities
2015,I Am Alive in Los Angeles!,/poetsorg/poem/i-am-alive-los-angeles,Mike Sonksen,Cities
2015,Location LA,/poetsorg/poem/location-la,Martha Ronk,Cities
2014,our happiness ,/poetsorg/poem/our-happiness,Eileen Myles,Cities
2014,Blackbottom,/poetsorg/poem/blackbottom,Toi Derricotte,Cities
2013,Tale of Two Cities,/poetsorg/poem/tale-two-cities,Mark Jarman,Cities
2013,The Barcelona Inside Me,/poetsorg/poem/barcelona-inside-me,Robin Becker,Cities
2013,Pittsburgh,/poetsorg/poem/pittsburgh,James Allen Hall,Cities
2012,Pedagogy and Performance,/poetsorg/poem/pedagogy-and-performance,Mark Bibbins,Cities
2012,(Soma)tic 1: Anoint Thyself,/poetsorg/poem/somatic-1-anoint-thyself,,Cities
2011,"The Hills, 5",/poetsorg/poem/hills-5,Kate Durbin,Cities
2013,Move to the City,/poetsorg/poem/move-city,Nathaniel Bellows,Cities
2013,French Kissing,/poetsorg/poem/french-kissing,Gregory Sherl,Cities
2012,"to have been, instead",/poetsorg/poem/have-been-instead,Stephen Motika,Cities
2011,playing with fire,/poetsorg/poem/playing-fire,Evie Shockley,Cities
2010,Sharks in the Rivers,/poetsorg/poem/sharks-rivers,Ada Limón,Cities
2010,Mean Free Path [excerpt],/poetsorg/poem/mean-free-path-excerpt,Ben Lerner,Cities
2009,We Address,/poetsorg/poem/we-address,Norma Cole,Cities
2007,Atlantic City Sunday Morning,/poetsorg/poem/atlantic-city-sunday-morning,Gregory Pardlo,Cities
2005,Still Another Day: XVII/Men,/poetsorg/poem/still-another-day-xviimen,Pablo Neruda,Cities
2003,"With My Back to City Hall, On Yom Kippur",/poetsorg/poem/my-back-city-hall-yom-kippur,Jordan Davis,Cities
2010,Kissing Stieglitz Good-Bye,/poetsorg/poem/kissing-stieglitz-good-bye,Gerald Stern,Cities
2009,How Simile Works,/poetsorg/poem/how-simile-works,Albert Goldbarth,Cities
2005,Sharks' Teeth,/poetsorg/poem/sharks-teeth,Kay Ryan,Cities
2004,In Paris,/poetsorg/poem/paris,Carl Dennis,Cities
2003,It Was Going on Five in the Morning,/poetsorg/poem/it-was-going-five-morning,André Breton,Cities
2002,He Dreams of Falling,/poetsorg/poem/he-dreams-falling,Ruth Ellen Kocher,Cities
1996,Haircut,/poetsorg/poem/haircut,Elizabeth Alexander,Cities
1986,The City Limits,/poetsorg/poem/city-limits,A. R. Ammons,Cities
1984,This City,/poetsorg/poem/city,Liam Rector,Cities
1974,And the City Stood in its Brightness (audio only),/poetsorg/poem/and-city-stood-its-brightness-audio-only,Czeslaw Milosz,Cities
1998,The Cities Inside Us,/poetsorg/poem/cities-inside-us,Alberto Ríos,Cities
1988,For the Poem Paterson [3. St. Valentine],/poetsorg/poem/poem-paterson-3-st-valentine,William Carlos Williams,Cities
1986,The Chicago Poem,/poetsorg/poem/chicago-poem,Jerome Rothenberg,Cities
1980,The City,/poetsorg/poem/city-0,C. P. Cavafy,Cities
1973,California Plush,/poetsorg/poem/california-plush,Frank Bidart,Cities
1926,In a Station of the Metro,/poetsorg/poem/station-metro,Ezra Pound,Cities
1922,The City's Love,/poetsorg/poem/citys-love,Claude McKay,Cities
1918,Prayers of Steel,/poetsorg/poem/prayers-steel,Carl Sandburg,Cities
1917,From a Bridge Car,/poetsorg/poem/bridge-car,Elias Lieberman,Cities
1913,Block City,/poetsorg/poem/block-city,Robert Louis Stevenson,Cities
1922,Quai de la Tournelle,/poetsorg/poem/quai-de-la-tournelle,John Dos Passos ,Cities
1920,Scandal,/poetsorg/poem/scandal,Lola Ridge,Cities
1917,Morning at the Window,/poetsorg/poem/morning-window,T. S. Eliot,Cities
1916,Images,/poetsorg/poem/images,Richard Aldington,Cities
1888,City Visions ,/poetsorg/poem/city-visions,Emma Lazarus,Cities
1807,"Composed Upon Westminster Bridge, September 3, 1802",/poetsorg/poem/composed-upon-westminster-bridge-september-3-1802,William Wordsworth,Cities
,Paris,/poetsorg/poem/paris-0,Willa Cather,Cities
2015,Victory,/poetsorg/poem/victory,Sherman Alexie,Clothing
2015,I Know You Think I've Forgotten,/poetsorg/poem/i-know-you-think-ive-forgotten,Jane Hirshfield,Clothing
2014,For the Fifty (Who Formed PEACE With Their Bodies),/poetsorg/poem/fifty-who-formed-peace-their-bodies,Philip Metres ,Clothing
1921,Heavy Threads,/poetsorg/poem/heavy-threads,Hazel Hall,Clothing
1921,Mending,/poetsorg/poem/mending,Hazel Hall,Clothing
1993,Ode to My Socks,/poetsorg/poem/ode-my-socks,Pablo Neruda,Clothing
2014,V-Neck T-Shirt Sonnet,/poetsorg/poem/v-neck-t-shirt-sonnet,Joseph O. Legaspi,Clothing
2014,The Red Sweater,/poetsorg/poem/red-sweater,Joseph O. Legaspi,Clothing
1914,Tender Buttons [A Long Dress],/poetsorg/poem/tender-buttons-long-dress,Gertrude Stein,Clothing
2010,Seriously Underdressed,/poetsorg/poem/seriously-underdressed,Cedar Sigo,Clothing
2014,Wild Silk,/poetsorg/poem/wild-silk,Brian Russell,Clothing
2014,From Trance Notebook #2 [nerdy questions about exact pitch],/poetsorg/poem/trance-notebook-2-nerdy-questions-about-exact-pitch,Wayne Koestenbaum,Clothing
2013,Roar Shack,/poetsorg/poem/roar-shack,Alice Fulton,Clothing
2013,White T-shirt,/poetsorg/poem/white-t-shirt,Lewis Ellingham,Clothing
2012,At Hobby Lobby,/poetsorg/poem/hobby-lobby,Rosa Alcalá,Clothing
2014,Costumes Exchanging Glances,/poetsorg/poem/costumes-exchanging-glances,Mary Jo Bang,Clothing
2014,Company,/poetsorg/poem/company,Karen Leona Anderson,Clothing
2013,What's Left (Al-Mutanabbi Street),/poetsorg/poem/whats-left-al-mutanabbi-street,Katrina Roberts,Clothing
2012,Covers,/poetsorg/poem/covers,Kathryn Cowles,Clothing
2012,In This Light,/poetsorg/poem/light,Matt Hart,Clothing
2012,Summer Nights and Days,/poetsorg/poem/summer-nights-and-days,Rachel Hadas,Clothing
2012,Directions for Lines that will Remain Unfinished,/poetsorg/poem/directions-lines-will-remain-unfinished,Sarah Messer,Clothing
2012,Self-Portrait,/poetsorg/poem/self-portrait-0,Ira Sadoff,Clothing
2011,[white paper #28],/poetsorg/poem/white-paper-28,Martha Collins,Clothing
2010,Dialect of a Skirt,/poetsorg/poem/dialect-skirt,Erica Miriam Fabri,Clothing
2012,The Surprise,/poetsorg/poem/surprise,Lola Haskins,Clothing
2012,Gihon,/poetsorg/poem/gihon,Donald Revell,Clothing
2011,For Aaron Sheon,/poetsorg/poem/aaron-sheon,Judith Vollmer,Clothing
2011,Daily Life,/poetsorg/poem/daily-life,Susan Wood,Clothing
2009,Ophelia to the Court,/poetsorg/poem/ophelia-court,Meghan O'Rourke,Clothing
2010,"Balance, onslaught",/poetsorg/poem/balance-onslaught,Khadijah Queen,Clothing
2009,Ode on My Episiotomy,/poetsorg/poem/ode-my-episiotomy,Kimberly Johnson,Clothing
2007,Duality,/poetsorg/poem/duality,Tina Chang,Clothing
2006,Fat Southern Men in Summer Suits,/poetsorg/poem/fat-southern-men-summer-suits,Liam Rector,Clothing
2006,Wedding Dress,/poetsorg/poem/wedding-dress,Michael Waters,Clothing
2010,The Love-Hat Relationship,/poetsorg/poem/love-hat-relationship,Aaron Belz,Clothing
2008,The Changing Coat,/poetsorg/poem/changing-coat,Anne Marie Macari,Clothing
2007,Dressmaker,/poetsorg/poem/dressmaker,Éireann Lorsung,Clothing
2006,Muse & Drudge [why these blues come from us],/poetsorg/poem/muse-drudge-why-these-blues-come-us,Harryette Mullen,Clothing
2005,Red Shoes,/poetsorg/poem/red-shoes,Honor Moore,Clothing
2004,The Clerk's Tale,/poetsorg/poem/clerks-tale,Spencer Reece,Clothing
2001,Borrowed Dress,/poetsorg/poem/borrowed-dress,Cathy Colman,Clothing
2000,"""What Do Women Want?""",/poetsorg/poem/what-do-women-want,Kim Addonizio,Clothing
1997,Buddhist Barbie,/poetsorg/poem/buddhist-barbie,Denise Duhamel,Clothing
1995,Couture,/poetsorg/poem/couture,Mark Doty,Clothing
2002,Coat,/poetsorg/poem/coat,Peg Boyers,Clothing
2001,The Plaid Dress,/poetsorg/poem/plaid-dress,Edna St. Vincent Millay,Clothing
1998,The Chance,/poetsorg/poem/chance-0,Arthur Sze,Clothing
1997,Black Nikes,/poetsorg/poem/black-nikes,Harryette Mullen,Clothing
1994,Old Coat,/poetsorg/poem/old-coat,Liam Rector,Clothing
1994,Black Jackets,/poetsorg/poem/black-jackets-0,Thom Gunn,Clothing
1991,Ode to a Dressmaker's Dummy,/poetsorg/poem/ode-dressmakers-dummy,Donald Justice,Clothing
1986,The List of Famous Hats,/poetsorg/poem/list-famous-hats,James Tate,Clothing
1978,Question,/poetsorg/poem/question,May Swenson,Clothing
1921,Two Sewing,/poetsorg/poem/two-sewing,Hazel Hall,Clothing
1993,A Poem,/poetsorg/poem/poem-13,James Schuyler,Clothing
1990,Shirt,/poetsorg/poem/shirt,Robert Pinsky,Clothing
1981,The Hot Dog Poem,/poetsorg/poem/hot-dog-poem,Jane Barnes,Clothing
1971,My Shoes,/poetsorg/poem/my-shoes,Charles Simic,Clothing
1889,Aedh Wishes for the Cloths of Heaven,/poetsorg/poem/aedh-wishes-cloths-heaven,W. B. Yeats,Clothing
1876,On A Pair of Garters,/poetsorg/poem/pair-garters,Sir John Davies,Clothing
1670,Upon Julia's Clothes,/poetsorg/poem/upon-julias-clothes,Robert Herrick,Clothing
2015,Darling Coffee,/poetsorg/poem/darling-coffee,Meena Alexander,Cooking
2014,Company,/poetsorg/poem/company,Karen Leona Anderson,Cooking
2012,"Kitchen Maid with Supper at Emmaus, or The Mulata",/poetsorg/poem/kitchen-maid-supper-emmaus-or-mulata,Natasha Trethewey,Cooking
2010,Six Persimmons,/poetsorg/poem/six-persimmons,Shin Yu Pai,Cooking
2009,So as Not to Distort,/poetsorg/poem/so-not-distort,Hiromi Itō,Cooking
2015,They Sail Across the Mirrored Sea,/poetsorg/poem/they-sail-across-mirrored-sea,Wendy Chen,Cooking
2013,Autumn Poem 2012,/poetsorg/poem/autumn-poem-2012,Hoa Nguyen,Cooking
2010,Unjust Praise,/poetsorg/poem/unjust-praise,Ghirmai Yohannes,Cooking
2010,A Spray of Water: Tanka [the hot water in],/poetsorg/poem/spray-water-tanka-hot-water,Tada Chimako,Cooking
2009,The Life of Man,/poetsorg/poem/life-man,Russell Edson,Cooking
2009,The Book of the Dead Man (The Foundry),/poetsorg/poem/book-dead-man-foundry,Marvin Bell,Cooking
2007,Eating the Bones,/poetsorg/poem/eating-bones,Ellen Bass,Cooking
2006,Muse & Drudge [just as I am I come],/poetsorg/poem/muse-drudge-just-i-am-i-come,Harryette Mullen,Cooking
2004,Blue Plate,/poetsorg/poem/blue-plate,Jesse Lee Kercheval,Cooking
1985,Short-Order Cook,/poetsorg/poem/short-order-cook,Jim Daniels,Cooking
2007,The Dry Spell,/poetsorg/poem/dry-spell,Kevin Young,Cooking
2006,Seven Years,/poetsorg/poem/seven-years,Daisy Fried,Cooking
2006,Artichoke,/poetsorg/poem/artichoke,Richard Foerster,Cooking
2004,Elegant Shrimp in Champagne Sauce,/poetsorg/poem/elegant-shrimp-champagne-sauce,Suzette Marie Bishop,Cooking
1974,cutting greens,/poetsorg/poem/cutting-greens,Lucille Clifton,Cooking
1968,Ego Tripping (there may be a reason why),/poetsorg/poem/ego-tripping-there-may-be-reason-why,Nikki Giovanni,Creation
2016,"Inspiration Point, Bryce Canyon, Utah",/poetsorg/poem/inspiration-point-bryce-canyon-utah,Jacqueline Osherow,Creation
2016,René Descartes and the Clockwork Girl,/poetsorg/poem/rene-descartes-and-clockwork-girl,Kathryn Nuernberger ,Creation
2009,Calculations,/poetsorg/poem/calculations,Brenda Cárdenas,Creation
2016,Vapor,/poetsorg/poem/vapor-0,Martin Rock,Creation
2017,Little Apophat,/poetsorg/poem/little-apophat,Jenny Johnson ,Creation
2016,"Build, Now, a Monument",/poetsorg/poem/build-now-monument,Matthew Olzmann,Creation
2016,Murano,/poetsorg/poem/murano,Paisley Rekdal,Creation
2016,OK Let’s Go ,/poetsorg/poem/ok-lets-go,Maureen N. McLane,Creation
1773,On Imagination,/poetsorg/poem/imagination,Phillis Wheatley,Creation
2016,History,/poetsorg/poem/history-1,Linda Hogan,Creation
2015,Art Project: Earth,/poetsorg/poem/art-project-earth,Karen Skolfield,Creation
